[qSkipTool]2025/06/27 07:52:15 log.go:41: 开始攻击
[qSkipTool]2025/06/27 07:52:15 log.go:41: 开始电话轰炸13979677669 我的电话号码是xxx,微信也是xxx,我现在有很严重的肾脏疾病,因为一些不良好的饮食习惯和作息习惯,比较严重,已经影响到我的生活,想要求助一下医生,如果可以的话请电话联系我,谢谢
[qSkipTool]2025/06/27 07:52:15 log.go:41: 发送短信给医院失败,错误码 16
[qSkipTool]2025/06/27 07:52:15 log.go:41: 发送短信给医院失败,错误码 16
[qSkipTool]2025/06/27 07:52:15 log.go:41: 发送短信给医院失败,错误码 16
[qSkipTool]2025/06/27 07:52:15 log.go:41: 发送短信给医院失败,错误码 16
[qSkipTool]2025/06/27 07:52:16 log.go:41: 发送短信给医院失败,错误码 16
[qSkipTool]2025/06/27 07:52:16 log.go:41: 发送短信给医院失败,错误码 16
[qSkipTool]2025/06/27 07:52:16 log.go:41: 发送短信给医院失败,错误码 16
[qSkipTool]2025/06/27 07:52:16 log.go:41: 发送短信给医院失败,错误码 16
[qSkipTool]2025/06/27 07:52:16 log.go:41: 发送短信给医院失败,错误码 16
[qSkipTool]2025/06/27 07:52:16 log.go:41: 发送短信给医院失败,错误码 16
[qSkipTool]2025/06/27 07:52:16 log.go:41: 发送短信给医院失败,错误码 16
[qSkipTool]2025/06/27 07:52:17 log.go:41: 发送短信给医院失败,错误码 16
[qSkipTool]2025/06/27 07:52:17 log.go:41: 发送短信给医院失败,错误码 16
[qSkipTool]2025/06/27 07:52:17 log.go:41: 发送短信给医院失败,错误码 16
[qSkipTool]2025/06/27 07:52:17 log.go:41: 发送短信给医院失败,错误码 16
[qSkipTool]2025/06/27 07:52:17 log.go:41: 发送短信给医院失败,错误码 16
[qSkipTool]2025/06/27 07:52:17 log.go:41: 发送短信给医院失败,错误码 16
[qSkipTool]2025/06/27 07:52:18 log.go:41: 发送短信给医院失败,错误码 16
[qSkipTool]2025/06/27 07:52:18 log.go:41: 发送短信给医院失败,错误码 16
[qSkipTool]2025/06/27 07:52:18 log.go:41: 发送短信给医院失败,错误码 16
[qSkipTool]2025/06/27 07:52:18 log.go:41: 发送短信给医院失败,错误码 16
[qSkipTool]2025/06/27 07:52:18 log.go:41: 发送短信给医院失败,错误码 16
[qSkipTool]2025/06/27 07:52:18 log.go:41: 发送短信给医院失败,错误码 16
[qSkipTool]2025/06/27 07:52:18 log.go:41: 发送短信给医院失败,错误码 16
[qSkipTool]2025/06/27 07:52:19 log.go:41: 发送短信给医院失败,错误码 16
[qSkipTool]2025/06/27 07:52:19 log.go:41: 发送短信给医院失败,错误码 16
[qSkipTool]2025/06/27 07:52:19 log.go:41: 发送短信给医院失败,错误码 16
[qSkipTool]2025/06/27 07:52:19 log.go:41: 发送短信给医院失败,错误码 16
[qSkipTool]2025/06/27 07:52:19 log.go:41: 发送短信给医院失败,错误码 16
